configuration,1,2,4,5,8,10,16,20,32,40
ParGA_PopSize_160_Evals300K_CR_1.0,14.166168790299997,7.8359765293,4.8562701588,4.281820368833333,2.6488729991,2.597247416433334,1.5276176487666666,1.2505111727333336,0.8660216755333333,0.8525416978
