Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,2533.0,0.00157239,0
ParGA_PopSize_80_Evals300K_CR_0.8,2532.9666666666667,1.4859906630666664,0.03333333333330302
ParGA_PopSize_40_Evals300K_CR_0.9,2532.9333333333334,1.5956485731,0.06666666666660603
ParGA_PopSize_160_Evals300K_CR_1.0,2533.0,1.706015825966667,0.0
ParGA_PopSize_120_Evals300K_CR_0.8,2533.0,1.4860112558000003,0.0
ParGA_PopSize_40_Evals300K_CR_0.7,2532.633333333333,1.3730672613000003,0.36666666666678793
ParGA_PopSize_160_Evals300K_CR_0.8,2533.0,1.4810837961000003,0.0
ParGA_PopSize_120_Evals300K_CR_0.9,2533.0,1.5966346897666666,0.0
ParGA_PopSize_160_Evals300K_CR_0.9,2533.0,1.5935488596000005,0.0
ParGA_PopSize_80_Evals300K_CR_0.9,2533.0,1.5954057266666668,0.0
ParGA_PopSize_80_Evals300K_CR_1.0,2533.0,1.7085670195,0.0
ParGA_PopSize_80_Evals300K_CR_0.7,2532.9666666666667,1.3733430222666665,0.03333333333330302
ParGA_PopSize_40_Evals300K_CR_1.0,2533.0,1.7090113756666665,0.0
ParGA_PopSize_40_Evals300K_CR_0.8,2532.866666666667,1.4874085876999998,0.13333333333321207
ParGA_PopSize_120_Evals300K_CR_0.7,2533.0,1.3724292673666667,0.0
ParGA_PopSize_160_Evals300K_CR_0.7,2533.0,1.372084183133334,0.0
ParGA_PopSize_120_Evals300K_CR_1.0,2533.0,1.7064894116666673,0.0
