Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,20613.0,0.0295741,0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,18746.1,8.4657822173,1866.9000000000015
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,18738.6,9.748618066199999,1874.4000000000015
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,18776.8,11.352700304200003,1836.2000000000007
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,18832.2,12.8787204098,1780.7999999999993
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,18770.7,13.2806917323,1842.2999999999993
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,18800.2,11.112417310000001,1812.7999999999993
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,18777.0,8.4543811514,1836.0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,18759.1,10.170521836899999,1853.9000000000015
