Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1425.0,0.000484982,0
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_5,1406.1,0.18081928730000002,18.90000000000009
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_1,1410.0,0.8941470300999999,15.0
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_10,1402.8,0.10303752730000001,22.200000000000045
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_25,1391.4,0.046487560000000004,33.59999999999991
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_2,1403.9,0.42823848249999996,21.09999999999991
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_20,1397.7,0.056239946900000004,27.299999999999955
