Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,15946.0,0.0381779,0
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_20,15179.9,0.5279604862999999,766.1000000000004
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_2,15267.5,3.199267029,678.5
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_25,15155.3,0.43409075880000003,790.7000000000007
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_10,15200.9,0.9624261475000001,745.1000000000004
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_1,15302.1,6.1216008427,643.8999999999996
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_5,15243.0,1.6867474846000001,703.0
