Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,3045.0,0.00156756,0
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_5,3029.2,0.3435627876,15.800000000000182
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_25,3027.6,0.0895593202,17.40000000000009
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_2,3031.3,0.7089526398,13.699999999999818
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_20,3029.2,0.10902302540000001,15.800000000000182
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_10,3031.0,0.19960366340000005,14.0
ParGA_PopSize100_Evals300K_MR_0.05_CR_0.8_TH_1,3030.2,1.4737913467000001,14.800000000000182
