Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1190.0,8.5502e-05,0
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1099.7,2.1216540573,90.29999999999995
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1106.2,2.0739193862000005,83.79999999999995
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1109.4,1.9374861007,80.59999999999991
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1104.9,1.9793051470000003,85.09999999999991
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1104.9,1.9454258627,85.09999999999991
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1105.4,1.9697157455000003,84.59999999999991
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1102.7,2.1066361172,87.29999999999995
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1101.8,2.0661243333000003,88.20000000000005
