Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1987.0,0.000408842,0
ParGA_PopSize_40_Evals300K_CR_1.0,1914.2,1.0136335773666667,72.79999999999995
ParGA_PopSize_160_Evals300K_CR_0.9,1981.4333333333334,0.9556797721333333,5.566666666666606
ParGA_PopSize_120_Evals300K_CR_0.8,1974.8,0.8954218789000001,12.200000000000045
ParGA_PopSize_160_Evals300K_CR_1.0,1986.4666666666667,1.0119601684000004,0.533333333333303
ParGA_PopSize_120_Evals300K_CR_0.9,1978.5333333333333,0.9535309288666667,8.466666666666697
ParGA_PopSize_80_Evals300K_CR_0.9,1966.4666666666667,0.9541273443333333,20.533333333333303
ParGA_PopSize_120_Evals300K_CR_1.0,1982.3333333333333,1.0161360304333336,4.6666666666667425
ParGA_PopSize_40_Evals300K_CR_0.8,1871.8666666666666,0.8960829174666668,115.13333333333344
ParGA_PopSize_160_Evals300K_CR_0.8,1981.7,0.8978704502666666,5.2999999999999545
ParGA_PopSize_40_Evals300K_CR_0.7,1832.4333333333334,0.8385019992999999,154.5666666666666
ParGA_PopSize_80_Evals300K_CR_0.7,1929.2333333333333,0.8379628303000001,57.76666666666665
ParGA_PopSize_40_Evals300K_CR_0.9,1875.6333333333334,0.9559416152666667,111.36666666666656
ParGA_PopSize_80_Evals300K_CR_0.8,1943.9333333333334,0.8947277327333335,43.066666666666606
ParGA_PopSize_160_Evals300K_CR_0.7,1975.8333333333333,0.837984469366667,11.166666666666742
ParGA_PopSize_80_Evals300K_CR_1.0,1970.3,1.0123051853,16.700000000000045
ParGA_PopSize_120_Evals300K_CR_0.7,1967.3333333333333,0.8403412585000001,19.666666666666742
