Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,20718.0,0.0390974,0
ParGA_PopSize_40_Evals300K_CR_0.8,16164.766666666666,6.1708727260666665,4553.233333333334
ParGA_PopSize_160_Evals300K_CR_0.8,19724.166666666668,6.1790996387999995,993.8333333333321
ParGA_PopSize_120_Evals300K_CR_0.8,19069.266666666666,6.176900662466666,1648.7333333333336
ParGA_PopSize_40_Evals300K_CR_0.9,16577.7,6.708259844133335,4140.299999999999
ParGA_PopSize_160_Evals300K_CR_1.0,20258.4,7.243160989633335,459.59999999999854
ParGA_PopSize_160_Evals300K_CR_0.9,20041.333333333332,6.7161456647,676.6666666666679
ParGA_PopSize_160_Evals300K_CR_0.7,19225.766666666666,5.643031603766668,1492.2333333333336
ParGA_PopSize_40_Evals300K_CR_0.7,15907.833333333334,5.6453071695,4810.166666666666
ParGA_PopSize_80_Evals300K_CR_1.0,18922.2,7.267469887999998,1795.7999999999993
ParGA_PopSize_120_Evals300K_CR_0.7,18573.733333333334,5.650354822233334,2144.2666666666664
ParGA_PopSize_120_Evals300K_CR_0.9,19479.233333333334,6.708258843400002,1238.7666666666664
ParGA_PopSize_80_Evals300K_CR_0.7,17430.166666666668,5.646978188033334,3287.833333333332
ParGA_PopSize_80_Evals300K_CR_0.9,18597.466666666667,6.706621037066667,2120.533333333333
ParGA_PopSize_40_Evals300K_CR_1.0,17020.933333333334,7.2422949654999975,3697.0666666666657
ParGA_PopSize_120_Evals300K_CR_1.0,19808.133333333335,7.248428321800001,909.866666666665
ParGA_PopSize_80_Evals300K_CR_0.8,18124.933333333334,6.173093484433334,2593.0666666666657
