num_of_cores,Average Elapsed Time (s),speedup
1,31.528096370920004,1.0
4,10.855532749660002,2.9043343240715176
6,19.966395289319998,1.5790580079211567
8,19.97640008002,1.5782671674889903
10,19.98356399048,1.5777013742863746
