Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,26955.7,16.6143051358,1622.4392040276593
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,27244.3,14.507796312199996,1877.9075342469162
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,26832.2,14.1355842723,1898.2024006308823
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,26866.4,16.6707992961,1611.5843951336622
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,26667.3,16.7027897017,1596.5776062717127
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,26988.1,16.993593580499997,1588.1337794831466
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,27065.9,14.055736035599997,1925.612428367195
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,27163.4,14.235380908699998,1908.1610934203386
Dynamic,41175.0,0.0902305,456331.28487595654
