Configuration,Average Objective,Average Elapsed Time (s),Avg. difference with optimal
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,25058.6,12.9882421763,1757.4000000000015
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,25058.3,14.816572319300002,1757.7000000000007
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,25081.1,13.087549169399997,1734.9000000000015
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,25076.2,14.213206466900001,1739.7999999999993
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,25066.5,12.7806135776,1749.5
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,25052.5,12.968031673299999,1763.5
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,25080.9,13.774462062700001,1735.0999999999985
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,25061.7,13.829753290400001,1754.2999999999993
Dynamic,26816.0,0.0887918,302009.8702808142
