Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,24975.0,14.220784511600002,1756.2322233086159
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,24975.5,15.8200052739,1578.7289300847974
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,24974.2,13.960602711300004,1788.905573524083
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,24974.6,14.199777929200001,1758.8021534226232
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,24975.5,16.0440796663,1556.6801287119085
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,24975.0,13.821921953700002,1806.912243004991
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,24975.7,16.4704359909,1516.395802381868
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,24975.6,16.639886558,1500.9477326029255
Dynamic,24976.0,0.091052,274304.7928656153
