Configuration,Average Objective,Average Elapsed Time (s),Avg. difference with optimal
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,30007.2,18.866385697299997,2068.7999999999993
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,30024.1,17.7625421815,2051.9000000000015
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,30012.1,17.97386889,2063.9000000000015
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,30043.2,17.8124509909,2032.7999999999993
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,29980.5,15.1632134024,2095.5
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,30062.6,14.541742248099998,2013.4000000000015
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,30010.4,15.5097756667,2065.5999999999985
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,30008.3,15.013006689700001,2067.7000000000007
Dynamic,32076.0,0.0865988,370397.74223199394
