Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,2531.6,1.6031329349,1579.1578757365594
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,2532.6,1.7091445396,1481.793927500548
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,2531.6,1.7714160777,1429.1391118494419
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,2532.6,1.7531739694,1444.5799699311917
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,2531.4,1.5909823166,1591.0924801538426
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,2531.9,1.5914027684,1590.9862985506668
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,2531.8,1.5978690576,1584.4852792898841
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,2532.4,1.7251749132,1467.9091265607908
Dynamic,2533.0,0.000927109,2732149.0784794455
