Configuration,Average Objective,Average Elapsed Time (s),Avg. difference with optimal
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,14938.0,7.3525221343,1008.0
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,14953.9,7.291026229800001,992.1000000000004
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,14960.0,8.5939425488,986.0
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,14976.9,7.2460632171,969.1000000000004
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,14993.4,8.3431994323,952.6000000000004
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,14982.6,7.220999579000001,963.3999999999996
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,14944.4,8.506330264899999,1001.6000000000004
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,14978.2,8.3433788427,967.7999999999993
Dynamic,15946.0,0.0124676,1278995.155442908
