Configuration,Average Objective,Average Elapsed Time (s),Avg. difference with optimal
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,3018.8,1.5842210948000002,26.199999999999818
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,3022.5,1.5775084823,22.5
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,3021.1,1.7083864748,23.90000000000009
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,3021.9,1.6966786925000001,23.09999999999991
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,3020.4,1.6132814099999997,24.59999999999991
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,3021.5,1.7256761551,23.5
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,3023.8,1.6836916044000003,21.199999999999818
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,3021.1,1.5955159768,23.90000000000009
Dynamic,3045.0,0.000510712,5962264.446498223
