Configuration, Best/Avg. Results, Avg. Time
SSGA_PopSize32_Evals1e6_MR01_CR_07_OMP4, 12441.8, 10.857212367799999
SSGA_PopSize32_Evals1e6_MR01_CR_07_Seq, 12446.0, 40.696698483
SSGA_PopSize32_Evals1e6_MR005_CR_08_Seq, 12446.0, 49.9457476837
SSGA_PopSize32_Evals1e6_MR005_CR_08_OMP4, 12441.1, 11.966739086599999
SSGA_PopSize32_Evals1e6_MR005_CR_08_PSTL, 12438.3, 11.793454647899999
SSGA_PopSize32_Evals1e6_MR01_CR_07_PSTL, 12439.5, 10.8069992878
Dynamic, 12446.0, 0.0251584
