Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,2811.8,1.6107197392,1745.679233680059
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,2800.5,1.7155279883000003,1632.4420348135218
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,2771.1,1.6002130845,1731.7068750664873
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,2837.1,1.7102381736,1658.8917519177983
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,2745.7,1.7283211467000001,1588.6515103067213
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,2805.3,1.5814611137,1773.865936821359
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,2859.4,1.5822685375,1807.1521566862982
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,2835.4,1.7054648477,1662.537931417254
Dynamic,3832.0,0.00086314,4439604.235697569
