Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1348.7,1.0614994146,1270.5612282492161
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1345.0,1.0181983157,1320.9607394364302
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1352.9,1.0255307210000002,1319.219378119439
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1346.8,1.0199541629,1320.4514957522117
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1351.6,1.0336630012,1307.582837376302
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1356.6,1.0773179613000001,1259.2382645908826
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1350.0,1.0578232952,1276.205587573829
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1346.5,1.0795896457,1247.2331550817503
Dynamic,1425.0,0.000298099,4780291.111342205
