Configuration,Average Objective,Average Elapsed Time (s),Avg. difference with optimal
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1606.1,1.1095705536,68.90000000000009
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1600.4,1.1297048739999997,74.59999999999991
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1597.6,1.0434043642,77.40000000000009
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1604.1,1.0631056959,70.90000000000009
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1591.0,1.0452489799999998,84.0
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1600.7,1.1277732223999999,74.29999999999995
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1597.0,1.1142086804,78.0
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1600.7,1.0555019031000001,74.29999999999995
Dynamic,1675.0,0.00012608,13285215.736040607
