Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,3056.3,1.7567894466999998,1739.70762730903
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,3026.7,1.6332867447,1853.134490818353
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,3039.8,1.7996685253,1689.0888278958334
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,3028.8,1.7923086949999998,1689.887466623042
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,3052.3,1.6084254446,1897.6944254690513
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,3027.7,1.6401733586999998,1845.963406209544
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,3028.4,1.6224063612,1866.6100382890932
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,3029.5,1.7887713327999997,1693.620612343928
Dynamic,3223.0,0.000499176,6456640.543615879
