Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1103.4,1.1079315691999998,995.90988349283
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1110.7,1.0597508543999998,1048.076531751273
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1110.1,1.1147501058,995.8285666215183
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1100.2,1.0634830236,1034.5252115785631
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1103.9,1.1270685045,979.4435702821115
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1095.6,1.0375423359,1055.9569109530732
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1099.6,1.0404112077,1056.8898065129906
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1108.1,1.1102218393999999,998.0888149334671
Dynamic,1190.0,8.5502e-05,13917803.092325326
