Configuration, Best/Avg. Results, Avg. Time
SSGA_PopSize32_Evals1e6_MR01_CR_07_PSTL, 13031.3, 10.7895237647
SSGA_PopSize32_Evals1e6_MR01_CR_07_OMP4, 13135.2, 10.8716265663
SSGA_PopSize32_Evals1e6_MR005_CR_08_PSTL, 13097.8, 11.8857940731
SSGA_PopSize32_Evals1e6_MR005_CR_08_Seq, 15536.9, 31.706201444299996
SSGA_PopSize32_Evals1e6_MR005_CR_08_OMP4, 13219.2, 11.9300771737
SSGA_PopSize32_Evals1e6_MR01_CR_07_Seq, 15634.9, 28.606898128
Dynamic, 20718.0, 0.0230782
