num_of_cores,Average Elapsed Time (s),speedup
1,5.67238976076,1.0
4,3.1275955080199997,1.8136583666955846
6,5.636277840080001,1.0064070511966612
8,5.6204270359,1.0092453339449285
10,5.62434507332,1.0085422723559243
