Configuration, Best/Avg. Results, Avg. Time
SSGA_PopSize32_Evals1e6_MR005_CR_08_PSTL, 3013.5, 3.3282821792
SSGA_PopSize32_Evals1e6_MR005_CR_08_Seq, 3025.0, 6.261220143199999
SSGA_PopSize32_Evals1e6_MR005_CR_08_OMP4, 3012.9, 3.3516790117
SSGA_PopSize32_Evals1e6_MR01_CR_07_PSTL, 3013.1, 3.1169276064000004
SSGA_PopSize32_Evals1e6_MR01_CR_07_OMP4, 3019.8, 3.1160262798
SSGA_PopSize32_Evals1e6_MR01_CR_07_Seq, 3024.3, 5.7052296547
Dynamic, 3045.0, 0.000510712
