Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,20613.0,0.0295741,0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,18805.0,3.0090287660999997,1808.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,18744.9,3.4192208491000002,1868.0999999999985
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,18746.1,3.7200356412,1866.9000000000015
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,18800.5,4.0478186117,1812.5
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,18803.4,4.2305444256,1809.5999999999985
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,18823.9,3.6140447745000004,1789.0999999999985
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,18784.2,3.645308116,1828.7999999999993
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,18791.7,4.136176902499999,1821.2999999999993
