Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,26816.0,0.0887918,0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,25051.9,3.7792770004000005,1764.0999999999985
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,25062.2,2.8717350877,1753.7999999999993
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,25061.1,3.0815837376000004,1754.9000000000015
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,25070.2,3.2542454639,1745.7999999999993
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,25049.3,3.6372202037,1766.7000000000007
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,25054.9,3.6520561138000005,1761.0999999999985
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,25039.1,4.072962438999999,1776.9000000000015
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,25055.1,4.366540617,1760.9000000000015
