Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1425.0,0.000298099,0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1351.1,0.4212284437999999,73.90000000000009
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1352.8,0.3535907521,72.20000000000005
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1344.3,0.3743209459,80.70000000000005
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1346.7,0.3540682846,78.29999999999995
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1345.5,0.41132038179999997,79.5
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1352.5,0.3357350807,72.5
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1345.4,0.3864105365,79.59999999999991
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1350.9,0.4003264075999999,74.09999999999991
