Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,3832.0,0.00086314,0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,2785.6,0.49857008579999995,1046.4
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,2788.3,0.7176101064000001,1043.6999999999998
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,2830.1,0.7987475022000001,1001.9000000000001
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,2893.2,0.7921691556,938.8000000000002
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,2810.0,0.7231231277000001,1022.0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,2779.5,0.4505974239,1052.5
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,2721.7,0.5675334157999999,1110.3000000000002
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,2832.9,0.5748453937,999.0999999999999
