Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,13316.0,0.0170575,0
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,12486.6,1.9655233193999997,829.3999999999996
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,12502.1,1.5435220905000002,813.8999999999996
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,12489.1,1.6201757302000002,826.8999999999996
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,12512.5,1.8793662505,803.5
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,12507.7,1.9694582631000004,808.2999999999993
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,12506.8,1.9627339659000005,809.2000000000007
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,12500.5,2.1732132315999997,815.5
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,12521.6,2.1559547882,794.3999999999996
