Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,3223.0,0.000499176,0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,3029.8,0.7190975188000001,193.19999999999982
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,3033.7,0.48244165250000004,189.30000000000018
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,3039.0,0.46793000830000003,184.0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,3044.2,0.5681906077000001,178.80000000000018
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,3046.7,0.5569275798,176.30000000000018
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,3034.5,0.5224240902,188.5
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,3038.0,0.5693484119000001,185.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,3043.9,0.6047666272,179.0999999999999
