Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1675.0,0.00012608,0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1595.5,0.44273271220000004,79.5
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1599.6,0.5705243431,75.40000000000009
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1603.2,0.5955613085,71.79999999999995
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1593.5,0.6075221302,81.5
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1598.6,0.5795480407,76.40000000000009
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1604.0,0.3636179236,71.0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1589.7,0.37987497169999995,85.29999999999995
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1597.3,0.42202111349999993,77.70000000000005
