Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,41175.0,0.0902305,0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,27241.6,4.6391068066,13933.400000000001
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,26888.9,3.1936782818,14286.099999999999
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,26761.4,3.7964381826000007,14413.599999999999
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,26929.0,4.6329886658,14246.0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,26997.9,3.8615017189,14177.099999999999
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,27203.3,3.8452622453,13971.7
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,27015.1,4.5916381118,14159.900000000001
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,26829.2,3.8659164279999993,14345.8
