Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1345.0,0.000246196,0
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1343.3,0.3785686053,1.7000000000000455
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1343.0,0.3422575145,2.0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1344.5,0.36882266350000004,0.5
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1344.0,0.43536779010000004,1.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1342.8,0.4044675252,2.2000000000000455
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1344.3,0.3582486678000001,0.7000000000000455
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1343.1,0.37632790540000005,1.900000000000091
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1344.0,0.33213502720000004,1.0
