Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1969.0,0.00023609,0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1609.4,0.4995947842,359.5999999999999
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1590.0,0.40035885779999997,379.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,1562.0,0.40442228599999996,407.0
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1580.9,0.3774802689,388.0999999999999
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1569.7,0.3323054936,399.29999999999995
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,1502.0,0.34667008509999997,467.0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,1546.8,0.3728098329,422.20000000000005
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,1557.7,0.36996384720000003,411.29999999999995
