Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,32076.0,0.0865988,0
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,30051.0,3.9032668943999993,2025.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,30044.4,3.8841689975000007,2031.5999999999985
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,30016.0,3.9610864897,2060.0
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,30051.0,4.731117949900001,2025.0
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,30017.4,4.1517184011,2058.5999999999985
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,30012.7,3.4701123397000004,2063.2999999999993
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,30018.0,4.7405217106,2058.0
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,30025.9,4.613466301700001,2050.0999999999985
