Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,15946.0,0.0124676,0
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,14935.2,1.6161476193,1010.7999999999993
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,14965.5,2.6479153266999997,980.5
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,15012.2,2.1107401201,933.7999999999993
SSGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_SEQ,14947.7,2.0488245378000003,998.2999999999993
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,14984.3,1.8847632234999998,961.7000000000007
SSGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_OMP_2,14992.8,2.2324772678,953.2000000000007
One-vs-OneGA_PopSize32_Evals300K_MR0.100000_CR_0.700000_SEQ,14980.7,2.3683345641,965.2999999999993
One-vs-OneGA_PopSize32_Evals300K_MR0.050000_CR_0.800000_OMP_2,14972.9,1.6673802637000001,973.1000000000004
