Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1425.0,0.000298099,0
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1353.1,1.1261266773999998,71.90000000000009
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1351.3,1.0484851268,73.70000000000005
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1356.3,1.1175981112,68.70000000000005
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1355.3,1.1076327474999998,69.70000000000005
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1351.4,1.0529438804000002,73.59999999999991
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1355.7,1.0515534173999999,69.29999999999995
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1350.5,1.0538029721000002,74.5
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1353.2,1.1086861682,71.79999999999995
