Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,1675.0,0.00012608,0
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1589.2,1.0782259223000001,85.79999999999995
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_OMP_2,1598.9,1.0760482886,76.09999999999991
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1586.2,1.1664435298000002,88.79999999999995
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_OMP_2,1593.7,1.1638557937,81.29999999999995
One-vs-OneGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1588.5,1.0731595115,86.5
One-vs-OneGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1597.3,1.1578442368000001,77.70000000000005
SSGA_PopSize32_Evals500K_MR0.100000_CR_0.700000_SEQ,1600.4,1.154170317,74.59999999999991
SSGA_PopSize32_Evals500K_MR0.050000_CR_0.800000_SEQ,1591.8,1.0723448432,83.20000000000005
